epoch,train_loss,train_roc,train_ap,val_loss,val_roc,val_ap
1,1.2337,0.8337,0.2673,,,
2,1.2451,0.813,0.2298,,,
3,1.2181,0.8517,0.2871,,,
4,1.2228,0.8632,0.2612,,,
5,1.2791,0.8332,0.1719,1.4274,0.5205,0.0467
6,1.2886,0.823,0.1535,,,
7,1.285,0.8197,0.1541,,,
8,1.258,0.8575,0.1942,,,
9,1.2083,0.9272,0.3191,,,
10,1.2435,0.8922,0.2091,1.4383,0.5165,0.0462
11,1.2124,0.922,0.2935,,,
12,1.2067,0.9241,0.2953,,,
13,1.1991,0.9303,0.3136,,,
14,1.2063,0.9268,0.2994,,,
15,1.2111,0.9192,0.2838,1.4325,0.5214,0.0467
16,1.2059,0.9263,0.3209,,,
17,1.2139,0.9182,0.2716,,,
18,1.2661,0.8552,0.1897,,,
19,1.1946,0.9381,0.3492,,,
20,1.2172,0.913,0.2628,1.4279,0.5222,0.0468
21,1.1902,0.9416,0.3901,,,
22,1.2253,0.9077,0.2482,,,
23,1.2151,0.9179,0.295,,,
24,1.224,0.9104,0.2681,,,
25,1.2102,0.9217,0.3105,1.4403,0.5211,0.0466
26,1.2413,0.8888,0.2214,,,
27,1.1996,0.9305,0.3165,,,
28,1.2109,0.9166,0.2866,,,
29,1.2083,0.9218,0.2858,,,
30,1.1911,0.942,0.3688,1.426,0.524,0.0469
31,1.2435,0.8849,0.2089,,,
32,1.2177,0.9172,0.288,,,
33,1.1969,0.936,0.3347,,,
34,1.2251,0.9034,0.2659,,,
35,1.2036,0.9261,0.3271,1.436,0.5191,0.0465
36,1.2557,0.878,0.2,,,
37,1.2527,0.8727,0.2054,,,
38,1.2356,0.8901,0.2334,,,
39,1.2135,0.9169,0.2877,,,
40,1.235,0.8992,0.2406,1.4344,0.5221,0.0467
41,1.2488,0.8801,0.2123,,,
42,1.1997,0.9281,0.2979,,,
43,1.2064,0.927,0.3146,,,
44,1.216,0.9227,0.2903,,,
45,1.2325,0.9002,0.2445,1.4349,0.5199,0.0465
46,1.1995,0.9324,0.3207,,,
47,1.2654,0.8579,0.1888,,,
48,1.2042,0.9313,0.3108,,,
49,1.2361,0.8984,0.2248,,,
50,1.2324,0.9032,0.2417,1.4375,0.5207,0.0466
51,1.2269,0.907,0.229,,,
52,1.1981,0.9312,0.3233,,,
53,1.2108,0.9206,0.3035,,,
54,1.2211,0.9143,0.2635,,,
55,1.2009,0.9303,0.3406,1.433,0.5233,0.0469
56,1.1965,0.9389,0.3605,,,
57,1.2484,0.8833,0.2278,,,
58,1.1962,0.9367,0.3395,,,
59,1.2203,0.9135,0.2714,,,
60,1.2502,0.8845,0.2299,1.4468,0.5182,0.0463
61,1.2101,0.9221,0.3158,,,
62,1.1997,0.93,0.3312,,,
63,1.208,0.9269,0.3058,,,
64,1.2196,0.9128,0.277,,,
65,1.1971,0.9359,0.3529,1.4436,0.5184,0.0464
66,1.2575,0.8719,0.1755,,,
67,1.262,0.8581,0.2054,,,
68,1.2465,0.8987,0.2382,,,
69,1.2462,0.8812,0.2084,,,
70,1.2072,0.9288,0.3324,1.4331,0.5222,0.0467
71,1.2098,0.9245,0.284,,,
72,1.2243,0.909,0.2489,,,
73,1.1924,0.9389,0.3577,,,
74,1.2487,0.8869,0.2097,,,
75,1.2132,0.9175,0.2876,1.4335,0.5218,0.0467
76,1.2618,0.8604,0.1983,,,
77,1.1979,0.9337,0.3262,,,
78,1.2434,0.8945,0.2507,,,
79,1.2389,0.8886,0.2497,,,
80,1.1979,0.9361,0.3381,1.4349,0.5212,0.0467
81,1.206,0.9275,0.309,,,
82,1.2445,0.8856,0.2197,,,
83,1.2308,0.8989,0.2647,,,
84,1.1945,0.9342,0.3747,,,
85,1.2142,0.9203,0.2953,1.4258,0.5239,0.0469
86,1.2196,0.9141,0.2798,,,
87,1.2362,0.9025,0.2459,,,
88,1.2039,0.9315,0.3216,,,
89,1.1975,0.9339,0.3217,,,
90,1.266,0.857,0.1893,1.4332,0.5232,0.0468
91,1.2099,0.9245,0.3047,,,
92,1.2432,0.8929,0.2398,,,
93,1.1973,0.9368,0.3644,,,
94,1.2261,0.9056,0.2457,,,
95,1.2164,0.9142,0.2813,1.4377,0.5214,0.0467
96,1.2073,0.9282,0.3156,,,
97,1.2173,0.9179,0.2886,,,
98,1.1896,0.9408,0.3577,,,
99,1.2045,0.9288,0.3179,,,
100,1.2024,0.9288,0.3256,1.4466,0.5187,0.0464
101,1.2144,0.9155,0.2827,,,
102,1.2228,0.9119,0.252,,,
103,1.2032,0.9304,0.3031,,,
104,1.198,0.934,0.3497,,,
105,1.2127,0.9211,0.3052,1.4382,0.5195,0.0465
106,1.1946,0.9396,0.3551,,,
107,1.2006,0.932,0.3433,,,
108,1.2625,0.873,0.1768,,,
109,1.212,0.9202,0.3021,,,
110,1.2035,0.9312,0.3307,1.4388,0.5198,0.0465
111,1.2827,0.8505,0.1477,,,
112,1.2076,0.9287,0.3105,,,
113,1.205,0.9266,0.3073,,,
114,1.2085,0.9278,0.3083,,,
115,1.1994,0.9372,0.3582,1.4401,0.5218,0.0467
116,1.2011,0.9348,0.346,,,
117,1.2521,0.8707,0.1949,,,
118,1.2,0.9328,0.3201,,,
119,1.2058,0.9275,0.3093,,,
120,1.1991,0.9324,0.3132,1.4332,0.5215,0.0467
121,1.2122,0.9213,0.2956,,,
